episode,observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist,observation.state,action
0,present,present,present,present,present
1,present,present,present,present,present
2,present,present,present,present,present
3,present,present,present,present,present
4,present,present,present,present,present
5,present,present,present,present,present
6,present,present,present,present,present
7,present,present,present,present,present
8,present,present,present,present,present
9,present,present,present,present,present
10,present,present,present,present,present
11,present,present,present,present,present
12,present,present,present,present,present
13,present,present,present,present,present
14,present,present,present,present,present
15,present,present,present,present,present
16,present,present,present,present,present
17,present,present,present,present,present
18,present,present,present,present,present
19,present,present,present,present,present
